,R-Syn-1,R-Syn-1,R-Syn-Max,R-Syn-Max,R-Sem,R-Sem,S-Syn-1,S-Syn-1,S-Syn-Max,S-Syn-Max,S-Sem-R,S-Sem-R,S-Sem-W-1,S-Sem-W-1,S-Sem-W-max,S-Sem-W-max,total,total
Gemini 1.5 Flash,0.9198570041062704,0.24243807194952516,0.9833183047760001,0.02844272135906044,0.8776388888888891,0.32475177486470774,0.8649999999999999,0.32368966619279027,0.9099999999999998,0.2718455443813636,1.0,0.0,0.85,0.30358963530836597,0.85,0.30358963530836597,0.9069767747213949,0.2626378477268806
Gemini 1.5 Pro,0.8870761403352688,0.29057475886024337,0.965815759530605,0.1268198662443702,0.796388888888889,0.3991127312204188,0.8449999999999999,0.33907963666371943,0.9049999999999998,0.28631276604440814,1.0,0.0,0.8833333333333334,0.2759830912694955,0.8833333333333334,0.2759830912694955,0.8957434319276787,0.28235303385011384
Gemini 2.0 Flash Exp,0.986293302117091,0.024904663872945883,0.9880245700177694,0.024030525901192874,0.9305952380952381,0.1970499191446691,0.9937499999999999,0.07880950133074056,1.0,0.0,1.0,0.0,0.6041666666666669,0.39417195204349303,0.6566666666666668,0.38688212387984244,0.894937055445429,0.2604635332251663
Llama-3.1-70B,0.9082215962551721,0.2339475986226206,0.9726415246935862,0.034107006548539154,0.5586004440004438,0.4837396548350268,0.9974999999999999,0.04993746088859544,0.9974999999999999,0.04993746088859544,1.0,0.0,0.6936666666666668,0.3809402111151361,0.7536666666666668,0.3609368981476464,0.860224612285317,0.3107486904806159
Llama-3.1-8B,0.7790639403796848,0.37470371393128565,0.9145388264919052,0.22813848970839873,0.462011290209827,0.42135852913366073,0.40070833333333333,0.4751222631392425,0.5214375,0.4765925236444126,0.5353333333333334,0.3767977647963899,0.27297326203208555,0.40131722002771775,0.35528938972694457,0.42506362639098383,0.5301694844383893,0.4520115641598966
Llama-3.2-1B,0.25000910742274896,0.36557773266219895,0.4113823214316254,0.4093181815613537,0.15895439710747966,0.25354996990840234,0.026000000000000002,0.14326199775236978,0.07870408163265305,0.26021097049704445,0.02092867781607728,0.06959055452558492,0.00975824175824176,0.05044836524458195,0.026841753227648694,0.07305381499189312,0.12282232254955937,0.27633368907236905
Llama-3.2-3B,0.4015306899157447,0.4520378145748829,0.7725502575702068,0.3317201433558202,0.3443428694556728,0.3974967501287972,0.19625784422296047,0.3738736673402491,0.32197107525180607,0.44393829769133847,0.30833333333333335,0.37348211321144803,0.11993730356403587,0.25625170766087285,0.212423615918435,0.3077355244740371,0.33466837365402446,0.4163033704029647
Llama-3.3-70B,0.975312860031625,0.03178246672185097,0.9779744280302951,0.029019437018209096,0.5950555555555556,0.4871147702366619,0.9849999999999999,0.12155245781143219,1.0,0.0,1.0,0.0,0.6166666666666668,0.3982601048449507,0.6706666666666667,0.3845713342295693,0.8525845221188512,0.3176610147320995
Llama-3.0-70B,0.9609034623546937,0.11435575192032026,0.9743093094182853,0.03303563741706178,0.5227133089133088,0.48033868144372543,0.954591836734694,0.20819765122156741,0.9900000000000001,0.099498743710662,1.0,0.0,0.6448571428571429,0.405357086217743,0.7310204081632653,0.3674192672558883,0.8472994335551738,0.3243341623583595
Llama-3.0-8B,0.5859778659983369,0.42589119469384823,0.6316366187795528,0.41609459535578736,0.21947248241954115,0.29038552208745144,0.27145833333333325,0.44471193664800834,0.4254999999999999,0.48790342282054133,0.615,0.33718194890395103,0.2805883838383839,0.3965384962343073,0.4450184194890079,0.41672173722279876,0.43433151298226946,0.43450258001912706
Llama-4-Maverick,0.8701514558799679,0.24113273520940579,0.9743606624276303,0.03299785815701305,0.6546156777739257,0.4646273228213628,0.96,0.19595917942265428,1.0,0.0,0.9100000000000001,0.24372115213907883,0.6866666666666668,0.3812843791421015,0.8146666666666669,0.326813572409579,0.8588076411768573,0.3050921187560078
GPT3.5 2024/01,0.9751644309801621,0.12626727404236554,0.994782053441321,0.014292633014135683,0.41137096237096255,0.44247322075983136,0.9437499999999999,0.23040385738958447,1.0,0.0,0.6958333333333332,0.3738640201404189,0.6741666666666668,0.38715396736239766,0.7066666666666668,0.3761796261244237,0.8002167641823891,0.3556515989358119
GPT4o 2024/11,0.9371019414486622,0.21170299745966703,0.9860712743061577,0.024065106194077125,0.7259155844155845,0.3767244743583732,1.0,0.0,1.0,0.0,0.88125,0.18317938612191056,0.8166666666666668,0.3254910819737531,0.8666666666666667,0.28596814119369623,0.9017090166879673,0.24394402072834911
GPT4o-mini 2024/07,0.9192088887700186,0.23160944564544683,0.9834946826484112,0.02973530688750782,0.3837365412365414,0.4153355253683566,0.9212499999999998,0.2460659210455604,0.9599999999999999,0.17435595774162685,0.9624999999999999,0.08926785535678562,0.7091666666666668,0.3853200329307805,0.7766666666666668,0.3488234191934048,0.827002930748538,0.3329645674724635
GPTo1-mini 2024/09,0.8352009702900252,0.35055556676609667,0.9919989169853403,0.018265315590588138,0.9941666666666668,0.030629959915815193,1.0,0.0,1.0,0.0,1.0,0.0,0.6966666666666668,0.37887259658682687,0.7666666666666668,0.353710490530195,0.9105874859094207,0.25064220429539313
GPTo1-pre 2024/09,0.9108296548689723,0.2564243007115997,0.9919896801131521,0.019549166773219672,0.6577681652425105,0.3726910796309424,1.0,0.0,1.0,0.0,1.0,0.0,0.7420000000000001,0.3649968036389725,0.8120000000000002,0.32930634167392925,0.8893234375280793,0.2682702225925655
OpenCoder-8B,0.7462859653543933,0.40531894478512814,0.8165865339991548,0.35353101775841916,0.16727111734482178,0.28479610013964624,0.6215,0.4817029686435407,0.7365,0.43688413795879555,0.40041666666666664,0.42232183126931366,0.4594401109726189,0.4223216225951609,0.5094401109726189,0.41686713528511016,0.5571800631637843,0.4543612054177455
Phi-3.5-mini,0.60842635235771,0.4116626881614187,0.6385997737961274,0.39045556072641435,0.17604569492098357,0.2969397367976449,0.6366363636363637,0.4657579888012994,0.683,0.4495675700047769,0.45,0.3807886552931954,0.3087272727272728,0.3670879823378307,0.3500000000000001,0.3705022278292619,0.4814294321798072,0.4320097365606215
Phi-3.5-MoE,0.8306441303730334,0.2957064425214049,0.8413619121939138,0.28748763495174406,0.5170664941511622,0.4209421147913307,0.8079601661779081,0.3914140780453862,0.9318010752688172,0.23831130027998612,0.6883333333333334,0.18507505984809994,0.6366927497109058,0.3939484104154628,0.648374567892724,0.3886711276838629,0.7377793036377248,0.35865863203428267
Phi-3.0-medium-128k,0.8381693324567119,0.3180208432768293,0.886107484643331,0.25658596412387125,0.2478427663495774,0.36431474285531035,0.5466133981735597,0.47479173445913425,0.6027745896471158,0.4658727119319899,0.625,0.31622776601683794,0.3603398275489175,0.4118602831513896,0.38459556354739505,0.41737554224455786,0.561430370295826,0.4393189991147801
Phi-3.0-mini-128k,0.5823011483196686,0.4239174732851923,0.6603344596196914,0.3884374282255118,0.26252821795273423,0.33335468273857016,0.4857895408163265,0.4785374205323854,0.5488064058956916,0.4797048052455216,0.42833333333333334,0.33572475498704457,0.2309365337043909,0.29148216653861664,0.2452877241805814,0.29182935619580996,0.4305396704778023,0.41517109079618436
Phi-3.0-small-128k,0.3460050469693553,0.3942071356701672,0.4315484077215629,0.38537400750086026,0.2837368409368408,0.36360086450910833,0.3658265306122449,0.4270801799574093,0.39447959183673464,0.4294944044583793,0.5933333333333334,0.48666666666666675,0.2782416105198061,0.3523087983382647,0.29993965093,0.35642892715930546,0.3741388766074848,0.41329153946314884
Qwen-2.0-0.5B,0.06758320890865131,0.15925443330041006,0.07562514390667202,0.17108923690709152,0.08466557407722165,0.20527949849446406,0.004999999999999999,0.07053367989832943,0.012499999999999997,0.11110243021644485,0.04,0.13564659966250536,0.006000000000000002,0.07186097689288673,0.010142857142857146,0.08009675271768744,0.03768959800442527,0.13787784762680447
Qwen-2.0-1.5B,0.12622493959956857,0.29374237381008694,0.14507526010049931,0.3136758852939112,0.22170329670329664,0.34868626096053695,0.2933443877551019,0.4482113987034314,0.3514141156462584,0.46467433216266263,0.15379761904761902,0.19576871696552553,0.10467942176870748,0.17709160438949065,0.11462840136054421,0.18211207554573602,0.1888584302476995,0.33241773687578036
Qwen-2.5-0.5B,0.05289024897868576,0.15297714653744035,0.10130399354348754,0.23461623603319015,0.08275192100341104,0.19920688283939103,0.157469387755102,0.3598232617204387,0.18512244897959182,0.3842552899614919,0.07083333333333333,0.17916666666666667,0.06138775510204083,0.12848772137422326,0.06444897959183675,0.12936817594732625,0.09702600853593615,0.24423420990108236
Qwen-2.5-14B,0.7807746816197729,0.39339294764959315,0.9218562443717919,0.24517654818736856,0.33114019183430937,0.4315942688241628,0.8975,0.3033047147671793,0.9099999999999999,0.2861817604250836,0.9333333333333335,0.2403700850309326,0.6575162907268172,0.37759928157821343,0.6705162907268172,0.37405453330963073,0.7628296290766052,0.38983319417859813
Qwen-2.5-1.5B,0.47036535178399586,0.4587273216926508,0.5842228469665558,0.4520176091960368,0.2663809084838653,0.338944672293741,0.4940049763832658,0.48534942020346006,0.5265656488978856,0.48222779784525455,0.12666666666666668,0.2678307923546755,0.18624143765591133,0.2718565683684165,0.24446093015171963,0.325866871678591,0.3623635958737332,0.42784837635549583
Qwen-2.5-32B,0.9788021138519479,0.03002063532556785,0.9816810540954443,0.02817068791857767,0.6028101010101009,0.47124423491640144,0.992,0.07959899496852957,1.0,0.0,0.8,0.4,0.6026666666666668,0.3910009945994738,0.6506666666666667,0.38771352539958914,0.8260783252863534,0.3409237130192072
Qwen-2.5-3B,0.7178868188458283,0.41016662099093865,0.8570214633165405,0.2923248491342381,0.3739959595959595,0.43449383234653477,0.7328083900226758,0.4306386376663143,0.8026473922902495,0.38380114821611805,0.45333333333333325,0.45097425400767366,0.40698719487795143,0.39465003814384864,0.4787831132452982,0.3938077857503614,0.6029329581909795,0.4405349432238823
Qwen-2.5-72B,0.870546178746701,0.3173915412722428,0.9866023276089351,0.024704262398854843,0.6143307359307358,0.47061007696408785,1.0,0.0,1.0,0.0,1.0,0.0,0.7306666666666667,0.36853101784125464,0.8106666666666668,0.32940619976625285,0.8766015719524631,0.2998736902965521
Qwen-2.0-57B-A14B,0.7406640176527857,0.3992911156683925,0.931611267095781,0.17308582728902372,0.22234029304029293,0.3699427906516011,0.8595,0.34519523461368923,0.895,0.3065534211193866,0.63,0.4375309512861157,0.5095764411027571,0.399140000802131,0.598525159051475,0.39325334686253516,0.6734021472428864,0.4238954590161195
Qwen-2.5-7B,0.9663247589957918,0.13879040257249625,0.973106860470804,0.11855266195331184,0.3286561327561326,0.41084122544403584,0.9169999999999999,0.257897266367831,0.976,0.13646977687385586,0.5858333333333333,0.4593481190169874,0.5646666666666669,0.3970396005997947,0.6026666666666668,0.39100099459947385,0.7392818023611745,0.39432250088224424
Qwen-2.5-Coder-32B,0.9369549672525752,0.21860988834756792,0.9906753076543737,0.017471599824451935,0.47773434343434323,0.4761749725470197,1.0,0.0,1.0,0.0,1.0,0.0,0.8140606060606062,0.3253917664184093,0.8300606060606062,0.314283092543893,0.8811857288078131,0.29724422998284944
Qwen-2.0-72B,0.964433061032417,0.040491525872040315,0.9709929800380526,0.03773423313045147,0.3391306693306692,0.4260094825829171,0.95,0.19874606914351792,1.0,0.0,1.0,0.0,0.6297804851538021,0.3800617164301125,0.688498272708799,0.36537903787622805,0.8178544335329676,0.33764454454104315
Qwen-2.0-7B,0.5658735123830765,0.45162673888252725,0.7385165187388127,0.405185335835636,0.23183164036480775,0.3045209192115634,0.7989999999999999,0.396735428213816,0.8364999999999999,0.36546921895010526,0.5733333333333334,0.4762818959864467,0.2975461579226286,0.3590162513635553,0.3692734306499013,0.38943576167140315,0.5514843241740701,0.4523916429373381
Qwen-3-235B,0.9118144027084978,0.2604800201383529,0.9934910382564868,0.01742570756917207,0.9799713538152428,0.13896705707147386,0.959795918367347,0.19643755611574895,0.9925,0.08627716963368699,1.0,0.0,0.7040000000000001,0.3961279254651625,0.8130000000000002,0.3366962033247975,0.9193215891434469,0.24601429135822334
